
All primitive solutions with B <= 7200^2

        1 =    1^2,        25 =    5^2,        49 =    7^2  with difference        24
   954529 =  977^2,   2411809 = 1553^2,   3869089 = 1967^2  with difference   1457280
   237169 =  487^2,   2449225 = 1565^2,   4661281 = 2159^2  with difference   2212056
    18769 =  137^2,   2449225 = 1565^2,   4879681 = 2209^2  with difference   2430456
   693889 =  833^2,   2512225 = 1585^2,   4330561 = 2081^2  with difference   1818336
    47089 =  217^2,   2512225 = 1585^2,   4977361 = 2231^2  with difference   2465136
   508369 =  713^2,   2550409 = 1597^2,   4592449 = 2143^2  with difference   2042040
  2307361 = 1519^2,   2563201 = 1601^2,   2819041 = 1679^2  with difference    255840
  1825201 = 1351^2,   2588881 = 1609^2,   3352561 = 1831^2  with difference    763680
    82369 =  287^2,   2601769 = 1613^2,   5121169 = 2263^2  with difference   2519400
   410881 =  641^2,   2627641 = 1621^2,   4844401 = 2201^2  with difference   2216760
  2455489 = 1567^2,   2640625 = 1625^2,   2825761 = 1681^2  with difference    185136
     5041 =   71^2,   2640625 = 1625^2,   5276209 = 2297^2  with difference   2635584
  1760929 = 1327^2,   2679769 = 1637^2,   3598609 = 1897^2  with difference    918840
  1442401 = 1201^2,   2719201 = 1649^2,   3996001 = 1999^2  with difference   1276800
   982081 =  991^2,   2719201 = 1649^2,   4456321 = 2111^2  with difference   1737120
   187489 =  433^2,   2745649 = 1657^2,   5303809 = 2303^2  with difference   2558160
     6241 =   79^2,   2785561 = 1669^2,   5564881 = 2359^2  with difference   2779320
   638401 =  799^2,   2825761 = 1681^2,   5013121 = 2239^2  with difference   2187360
  2289169 = 1513^2,   2839225 = 1685^2,   3389281 = 1841^2  with difference    550056
   877969 =  937^2,   2839225 = 1685^2,   4800481 = 2191^2  with difference   1961256
    82369 =  287^2,   2866249 = 1693^2,   5650129 = 2377^2  with difference   2783880
  1787569 = 1337^2,   2879809 = 1697^2,   3972049 = 1993^2  with difference   1092240
   638401 =  799^2,   2920681 = 1709^2,   5202961 = 2281^2  with difference   2282280
  1329409 = 1153^2,   2948089 = 1717^2,   4566769 = 2137^2  with difference   1618680
    54289 =  233^2,   2948089 = 1717^2,   5841889 = 2417^2  with difference   2893800
   358801 =  599^2,   2961841 = 1721^2,   5564881 = 2359^2  with difference   2603040
    18769 =  137^2,   3003289 = 1733^2,   5987809 = 2447^2  with difference   2984520
  2825761 = 1681^2,   3031081 = 1741^2,   3236401 = 1799^2  with difference    205320
  2430481 = 1559^2,   3045025 = 1745^2,   3659569 = 1913^2  with difference    614544
   923521 =  961^2,   3045025 = 1745^2,   5166529 = 2273^2  with difference   2121504
  2053489 = 1433^2,   3073009 = 1753^2,   4092529 = 2023^2  with difference   1019520
  2819041 = 1679^2,   3115225 = 1765^2,   3411409 = 1847^2  with difference    296184
  1697809 = 1303^2,   3115225 = 1765^2,   4532641 = 2129^2  with difference   1417416
   261121 =  511^2,   3129361 = 1769^2,   5997601 = 2449^2  with difference   2868240
   152881 =  391^2,   3129361 = 1769^2,   6105841 = 2471^2  with difference   2976480
      289 =   17^2,   3157729 = 1777^2,   6315169 = 2513^2  with difference   3157440
  1366561 = 1169^2,   3171961 = 1781^2,   4977361 = 2231^2  with difference   1805400
   579121 =  761^2,   3171961 = 1781^2,   5764801 = 2401^2  with difference   2592840
  1739761 = 1319^2,   3200521 = 1789^2,   4661281 = 2159^2  with difference   1460760
  1062961 = 1031^2,   3243601 = 1801^2,   5424241 = 2329^2  with difference   2180640
   790321 =  889^2,   3330625 = 1825^2,   5870929 = 2423^2  with difference   2540304
   305809 =  553^2,   3330625 = 1825^2,   6355441 = 2521^2  with difference   3024816
  2798929 = 1673^2,   3433609 = 1853^2,   4068289 = 2017^2  with difference    634680
   552049 =  743^2,   3433609 = 1853^2,   6315169 = 2513^2  with difference   2881560
  3236401 = 1799^2,   3463321 = 1861^2,   3690241 = 1921^2  with difference    226920
  2798929 = 1673^2,   3478225 = 1865^2,   4157521 = 2039^2  with difference    679296
  2217121 = 1489^2,   3478225 = 1865^2,   4739329 = 2177^2  with difference   1261104
  2380849 = 1543^2,   3508129 = 1873^2,   4635409 = 2153^2  with difference   1127280
   113569 =  337^2,   3523129 = 1877^2,   6932689 = 2633^2  with difference   3409560
  1985281 = 1409^2,   3553225 = 1885^2,   5121169 = 2263^2  with difference   1567944
  1682209 = 1297^2,   3553225 = 1885^2,   5424241 = 2329^2  with difference   1871016
   516961 =  719^2,   3553225 = 1885^2,   6589489 = 2567^2  with difference   3036264
   351649 =  593^2,   3553225 = 1885^2,   6754801 = 2599^2  with difference   3201576
     2401 =   49^2,   3568321 = 1889^2,   7134241 = 2671^2  with difference   3565920
  1615441 = 1271^2,   3613801 = 1901^2,   5612161 = 2369^2  with difference   1998360
  1203409 = 1097^2,   3659569 = 1913^2,   6115729 = 2473^2  with difference   2456160
  1274641 = 1129^2,   3690241 = 1921^2,   6105841 = 2471^2  with difference   2415600
   192721 =  439^2,   3690241 = 1921^2,   7187761 = 2681^2  with difference   3497520
   253009 =  503^2,   3736489 = 1933^2,   7219969 = 2687^2  with difference   3483480
  3411409 = 1847^2,   3751969 = 1937^2,   4092529 = 2023^2  with difference    340560
    12769 =  113^2,   3751969 = 1937^2,   7491169 = 2737^2  with difference   3739200
  2765569 = 1663^2,   3783025 = 1945^2,   4800481 = 2191^2  with difference   1017456
   966289 =  983^2,   3783025 = 1945^2,   6599761 = 2569^2  with difference   2816736
   790321 =  889^2,   3798601 = 1949^2,   6806881 = 2609^2  with difference   3008280
  2163841 = 1471^2,   3845521 = 1961^2,   5527201 = 2351^2  with difference   1681680
    78961 =  281^2,   3845521 = 1961^2,   7612081 = 2759^2  with difference   3766560
   693889 =  833^2,   3892729 = 1973^2,   7091569 = 2663^2  with difference   3198840
  3690241 = 1921^2,   3940225 = 1985^2,   4190209 = 2047^2  with difference    249984
  1615441 = 1271^2,   3940225 = 1985^2,   6265009 = 2503^2  with difference   2324784
   452929 =  673^2,   3972049 = 1993^2,   7491169 = 2737^2  with difference   3519120
  2745649 = 1657^2,   3988009 = 1997^2,   5230369 = 2287^2  with difference   1242360
   461041 =  679^2,   4020025 = 2005^2,   7579009 = 2753^2  with difference   3558984
    14161 =  119^2,   4020025 = 2005^2,   8025889 = 2833^2  with difference   4005864
  1129969 = 1063^2,   4068289 = 2017^2,   7006609 = 2647^2  with difference   2938320
  3389281 = 1841^2,   4116841 = 2029^2,   4844401 = 2201^2  with difference    727560
  2719201 = 1649^2,   4165681 = 2041^2,   5612161 = 2369^2  with difference   1446480
   271441 =  521^2,   4165681 = 2041^2,   8059921 = 2839^2  with difference   3894240
  1515361 = 1231^2,   4182025 = 2045^2,   6848689 = 2617^2  with difference   2666664
   201601 =  449^2,   4182025 = 2045^2,   8162449 = 2857^2  with difference   3980424
     2209 =   47^2,   4214809 = 2053^2,   8427409 = 2903^2  with difference   4212600
  1168561 = 1081^2,   4280761 = 2069^2,   7392961 = 2719^2  with difference   3112200
   128881 =  359^2,   4330561 = 2081^2,   8532241 = 2921^2  with difference   4201680
  1540081 = 1241^2,   4363921 = 2089^2,   7187761 = 2681^2  with difference   2823840
   388129 =  623^2,   4431025 = 2105^2,   8473921 = 2911^2  with difference   4042896
    47089 =  217^2,   4431025 = 2105^2,   8814961 = 2969^2  with difference   4383936
  4190209 = 2047^2,   4464769 = 2113^2,   4739329 = 2177^2  with difference    274560
  4092529 = 2023^2,   4481689 = 2117^2,   4870849 = 2207^2  with difference    389160
  3659569 = 1913^2,   4481689 = 2117^2,   5303809 = 2303^2  with difference    822120
  3352561 = 1831^2,   4515625 = 2125^2,   5678689 = 2383^2  with difference   1163064
    37249 =  193^2,   4515625 = 2125^2,   8994001 = 2999^2  with difference   4478376
   591361 =  769^2,   4532641 = 2129^2,   8473921 = 2911^2  with difference   3941280
